county,precinct,office,district,candidate,party,absentee,mail,not_sure,election_day,votes
Sanpete,FAIRVIEW MUNICIPAL,STRAIGHT PARTY,,REPUBLICAN,REP,6,9,0,120,135
Sanpete,FAIRVIEW MUNICIPAL,STRAIGHT PARTY,,DEMOCRATIC,DEM,0,1,0,17,18
Sanpete,FAIRVIEW MUNICIPAL,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,3,3
Sanpete,FAIRVIEW MUNICIPAL,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,1,1
Sanpete,FAIRVIEW MUNICIPAL,STRAIGHT PARTY,,GREEN,GRE,0,0,0,1,1
Sanpete,FAIRVIEW MUNICIPAL,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,President,,Registered Voters,,,,,,595
Sanpete,FAIRVIEW MUNICIPAL,President,,JILL STEIN,GRE,0,0,0,2,2
Sanpete,FAIRVIEW MUNICIPAL,President,,GLORIA LA RIVA,UNA,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,President,,MITT ROMNEY,REP,22,31,15,379,447
Sanpete,FAIRVIEW MUNICIPAL,President,,BARACK OBAMA,DEM,1,2,5,33,41
Sanpete,FAIRVIEW MUNICIPAL,President,,GARY JOHNSON,LIB,0,1,0,3,4
Sanpete,FAIRVIEW MUNICIPAL,President,,VIRGIL GOODE,CON,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,President,,"ROSS C. \ROCKY\"" ANDE""",JUS,0,0,0,1,1
Sanpete,FAIRVIEW MUNICIPAL,President,,Write-ins,,0,0,0,2,2
Sanpete,FAIRVIEW MUNICIPAL,U.S. Senate,,SHAUN LYNN McCAUSLAN,CON,1,0,0,15,16
Sanpete,FAIRVIEW MUNICIPAL,U.S. Senate,,SCOTT HOWELL,DEM,2,9,5,81,97
Sanpete,FAIRVIEW MUNICIPAL,U.S. Senate,,ORRIN G. HATCH,REP,19,24,15,312,370
Sanpete,FAIRVIEW MUNICIPAL,U.S. Senate,,DANIEL GEERY,JUS,0,0,0,1,1
Sanpete,FAIRVIEW MUNICIPAL,U.S. Senate,,BILL BARRON,UNA,0,1,0,2,3
Sanpete,FAIRVIEW MUNICIPAL,U.S. Senate,,Write-ins,,0,0,0,1,1
Sanpete,FAIRVIEW MUNICIPAL,U.S. House,4,MIA B. LOVE,REP,15,25,12,297,349
Sanpete,FAIRVIEW MUNICIPAL,U.S. House,4,JIM L VEIN,LIB,0,1,1,3,5
Sanpete,FAIRVIEW MUNICIPAL,U.S. House,4,JIM MATHESON,DEM,7,8,6,117,138
Sanpete,FAIRVIEW MUNICIPAL,U.S. House,4,Write-ins,,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,Governor ,,PETER S. COOKE,DEM,1,10,5,68,84
Sanpete,FAIRVIEW MUNICIPAL,Governor ,,KEN LARSEN,LIB,0,1,0,7,8
Sanpete,FAIRVIEW MUNICIPAL,Governor ,,KIRK D PEARSON,CON,2,1,1,7,11
Sanpete,FAIRVIEW MUNICIPAL,Governor ,,GARY R. HERBERT,REP,19,22,14,336,391
Sanpete,FAIRVIEW MUNICIPAL,Governor ,,Write-ins,,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,Attorney General,,DEE W. SMITH,DEM,3,8,7,70,88
Sanpete,FAIRVIEW MUNICIPAL,Attorney General,,JOHN SWALLOW,REP,18,24,12,315,369
Sanpete,FAIRVIEW MUNICIPAL,Attorney General,,W. ANDREW McCULLOUGH,LIB,0,2,1,24,27
Sanpete,FAIRVIEW MUNICIPAL,Attorney General,,Write-ins,,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,State Auditor,,MARK SAGE,DEM,3,8,5,66,82
Sanpete,FAIRVIEW MUNICIPAL,State Auditor,,JOHN DOUGALL,REP,17,22,13,313,365
Sanpete,FAIRVIEW MUNICIPAL,State Auditor,,RICHARD PROCTOR,CON,1,4,2,29,36
Sanpete,FAIRVIEW MUNICIPAL,State Auditor,,Write-ins,,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,State Treasurer,,CHRISTOPHER STOUT,DEM,2,9,4,64,79
Sanpete,FAIRVIEW MUNICIPAL,State Treasurer,,VINCENT C. MARCUSS,LIB,0,1,2,22,25
Sanpete,FAIRVIEW MUNICIPAL,State Treasurer,,RICHARD K. ELLIS,REP,19,24,14,317,374
Sanpete,FAIRVIEW MUNICIPAL,State Treasurer,,Write-ins,,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,State Senate,24,RALPH OKERLUND,REP,19,26,14,352,411
Sanpete,FAIRVIEW MUNICIPAL,State Senate,24,TRESTIN MEACHAM,CON,2,6,5,39,52
Sanpete,FAIRVIEW MUNICIPAL,State Senate,24,Write-ins,,0,0,0,0,0
Sanpete,FAIRVIEW MUNICIPAL,State House,58,SPENCER J. COX,REP,21,31,19,399,470
Sanpete,FAIRVIEW MUNICIPAL,State House,58,Write-ins,,0,1,0,4,5
Sanpete,FAIRVIEW MUNICIPAL,COUNTY COMM A,,STEVE FRISCHKNECHT,REP,22,32,18,400,472
Sanpete,FAIRVIEW MUNICIPAL,COUNTY COMM A,,Write-ins,,0,0,0,2,2
Sanpete,FAIRVIEW MUNICIPAL,DISTRICT COURT -BAGLEY,,YES,,19,24,8,279,330
Sanpete,FAIRVIEW MUNICIPAL,DISTRICT COURT -BAGLEY,,NO,,1,4,5,95,105
Sanpete,FAIRVIEW MUNICIPAL,AMENDMENT A,,FOR,,10,17,9,187,223
Sanpete,FAIRVIEW MUNICIPAL,AMENDMENT A,,AGAINST,,11,15,6,205,237
Sanpete,FAIRVIEW MUNICIPAL,AMENDMENT B,,FOR,,13,20,9,272,314
Sanpete,FAIRVIEW MUNICIPAL,AMENDMENT B,,AGAINST,,9,12,6,126,153
Sanpete,FAIRVIEW UNINCORPORATED,STRAIGHT PARTY,,REPUBLICAN,REP,5,14,0,102,121
Sanpete,FAIRVIEW UNINCORPORATED,STRAIGHT PARTY,,DEMOCRATIC,DEM,3,4,0,12,19
Sanpete,FAIRVIEW UNINCORPORATED,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,3,3
Sanpete,FAIRVIEW UNINCORPORATED,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,STRAIGHT PARTY,,GREEN,GRE,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,President,,Registered Voters,,,,,,548
Sanpete,FAIRVIEW UNINCORPORATED,President,,JILL STEIN,GRE,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,President,,GLORIA LA RIVA,UNA,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,President,,MITT ROMNEY,REP,15,50,57,272,394
Sanpete,FAIRVIEW UNINCORPORATED,President,,BARACK OBAMA,DEM,4,8,11,32,55
Sanpete,FAIRVIEW UNINCORPORATED,President,,GARY JOHNSON,LIB,0,0,0,2,2
Sanpete,FAIRVIEW UNINCORPORATED,President,,VIRGIL GOODE,CON,0,0,1,2,3
Sanpete,FAIRVIEW UNINCORPORATED,President,,"ROSS C. \ROCKY\"" ANDE""",JUS,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,President,,Write-ins,,0,0,0,1,1
Sanpete,FAIRVIEW UNINCORPORATED,U.S. Senate,,SHAUN LYNN McCAUSLAN,CON,1,7,4,23,35
Sanpete,FAIRVIEW UNINCORPORATED,U.S. Senate,,SCOTT HOWELL,DEM,6,12,18,58,94
Sanpete,FAIRVIEW UNINCORPORATED,U.S. Senate,,ORRIN G. HATCH,REP,12,38,46,221,317
Sanpete,FAIRVIEW UNINCORPORATED,U.S. Senate,,DANIEL GEERY,JUS,0,1,0,3,4
Sanpete,FAIRVIEW UNINCORPORATED,U.S. Senate,,BILL BARRON,UNA,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,U.S. Senate,,Write-ins,,0,0,0,1,1
Sanpete,FAIRVIEW UNINCORPORATED,U.S. House,4,MIA B. LOVE,REP,10,40,46,225,321
Sanpete,FAIRVIEW UNINCORPORATED,U.S. House,4,JIM L VEIN,LIB,1,1,2,5,9
Sanpete,FAIRVIEW UNINCORPORATED,U.S. House,4,JIM MATHESON,DEM,7,16,20,74,117
Sanpete,FAIRVIEW UNINCORPORATED,U.S. House,4,Write-ins,,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,Governor ,,PETER S. COOKE,DEM,6,9,8,38,61
Sanpete,FAIRVIEW UNINCORPORATED,Governor ,,KEN LARSEN,LIB,0,1,0,7,8
Sanpete,FAIRVIEW UNINCORPORATED,Governor ,,KIRK D PEARSON,CON,1,3,6,16,26
Sanpete,FAIRVIEW UNINCORPORATED,Governor ,,GARY R. HERBERT,REP,12,45,54,247,358
Sanpete,FAIRVIEW UNINCORPORATED,Governor ,,Write-ins,,0,0,0,0,0
Sanpete,FAIRVIEW UNINCORPORATED,Attorney General,,DEE W. SMITH,DEM,4,10,15,44,73
Sanpete,FAIRVIEW UNINCORPORATED,Attorney General,,JOHN SWALLOW,REP,13,44,48,231,336
Sanpete,FAIRVIEW UNINCORPORATED,Attorney General,,W. ANDREW McCULLOUGH,LIB,1,3,2,18,24
Sanpete,FAIRVIEW UNINCORPORATED,Attorney General,,Write-ins,,0,0,0,0,0
