precinct,office,votes,candidate,party,district,county
Axtell SSD,State Treasurer,106,MARLO M OAKS,REP,,Sanpete
Centerfield City,State Treasurer,433,MARLO M OAKS,REP,,Sanpete
Ephraim City 1 (North),State Treasurer,549,MARLO M OAKS,REP,,Sanpete
Ephraim City 2 (South West),State Treasurer,353,MARLO M OAKS,REP,,Sanpete
Ephraim City 3 (South East),State Treasurer,317,MARLO M OAKS,REP,,Sanpete
Ephraim U,State Treasurer,211,MARLO M OAKS,REP,,Sanpete
Fayette Town,State Treasurer,91,MARLO M OAKS,REP,,Sanpete
Fairview City,State Treasurer,445,MARLO M OAKS,REP,,Sanpete
Fairview U,State Treasurer,519,MARLO M OAKS,REP,,Sanpete
Fountain Green City,State Treasurer,378,MARLO M OAKS,REP,,Sanpete
Gunnison City,State Treasurer,532,MARLO M OAKS,REP,,Sanpete
Manti City 1 (South),State Treasurer,570,MARLO M OAKS,REP,,Sanpete
Manti Cify 2 (Mid),State Treasurer,356,MARLO M OAKS,REP,,Sanpete
Manti City 3 (North),State Treasurer,259,MARLO M OAKS,REP,,Sanpete
Mayfield Town,State Treasurer,212,MARLO M OAKS,REP,,Sanpete
Moroni City,State Treasurer,414,MARLO M OAKS,REP,,Sanpete
Moroni U,State Treasurer,118,MARLO M OAKS,REP,,Sanpete
Mt Pleasant City 2 (East),State Treasurer,326,MARLO M OAKS,REP,,Sanpete
Mt Pleasant City 1 (West),State Treasurer,607,MARLO M OAKS,REP,,Sanpete
Mt Pleasant 1 U,State Treasurer,162,MARLO M OAKS,REP,,Sanpete
Mt Pleasant 2 U,State Treasurer,190,MARLO M OAKS,REP,,Sanpete
Fountain Green U,State Treasurer,25,MARLO M OAKS,REP,,Sanpete
Spring City,State Treasurer,384,MARLO M OAKS,REP,,Sanpete
Spring City U Wales U,State Treasurer,303,MARLO M OAKS,REP,,Sanpete
SSU,State Treasurer,131,MARLO M OAKS,REP,,Sanpete
Sterling Town,State Treasurer,109,MARLO M OAKS,REP,,Sanpete
Sterling U,State Treasurer,72,MARLO M OAKS,REP,,Sanpete
Wales Town,State Treasurer,116,MARLO M OAKS,REP,,Sanpete
Axtell SSD,State Treasurer,4,THOMAS ALAN HORNE,UUP,,Sanpete
Centerfield City,State Treasurer,14,THOMAS ALAN HORNE,UUP,,Sanpete
Ephraim City 1 (North),State Treasurer,51,THOMAS ALAN HORNE,UUP,,Sanpete
Ephraim City 2 (South West),State Treasurer,32,THOMAS ALAN HORNE,UUP,,Sanpete
Ephraim City 3 (South East),State Treasurer,29,THOMAS ALAN HORNE,UUP,,Sanpete
Ephraim U,State Treasurer,3,THOMAS ALAN HORNE,UUP,,Sanpete
Fayette Town,State Treasurer,1,THOMAS ALAN HORNE,UUP,,Sanpete
Fairview City,State Treasurer,18,THOMAS ALAN HORNE,UUP,,Sanpete
Fairview U,State Treasurer,40,THOMAS ALAN HORNE,UUP,,Sanpete
Fountain Green City,State Treasurer,27,THOMAS ALAN HORNE,UUP,,Sanpete
Gunnison City,State Treasurer,21,THOMAS ALAN HORNE,UUP,,Sanpete
Manti City 1 (South),State Treasurer,22,THOMAS ALAN HORNE,UUP,,Sanpete
Manti Cify 2 (Mid),State Treasurer,18,THOMAS ALAN HORNE,UUP,,Sanpete
Manti City 3 (North),State Treasurer,8,THOMAS ALAN HORNE,UUP,,Sanpete
Mayfield Town,State Treasurer,19,THOMAS ALAN HORNE,UUP,,Sanpete
