county,precinct,office,district,candidate,party,election_day,absentee,mail,provisional,votes
Emery,1,Registered Voters ,,Registered Voters ,,0,0,0,0,243
Emery,1,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,0,0,0,0,0
Emery,1,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,0,0,0,0,0
Emery,1,STRAIGHT PARTY ,,REPUBLICAN ,REP ,15,0,0,0,15
Emery,1,STRAIGHT PARTY ,,CONSTITUTION ,CON ,0,0,0,0,0
Emery,1,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,2,0,0,0,2
Emery,1,U.S. House,3,BEN J. MATES ,,3,0,0,0,3
Emery,1,U.S. House,3,BRIAN WONNACOTT ,DEM ,10,0,1,0,11
Emery,1,U.S. House,3,ZACK STRONG ,IAP ,3,0,0,0,3
Emery,1,U.S. House,3,JASON CHAFFETZ ,REP ,74,0,3,0,77
Emery,1,U.S. House,3,STEPHEN P. TRYON ,,0,0,0,0,0
Emery,1,U.S. House,3,Write-ins,,0,0,0,0,0
Emery,1,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,5,0,0,0,5
Emery,1,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,6,0,0,0,6
Emery,1,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,12,0,1,0,13
Emery,1,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,68,0,3,0,71
Emery,1,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,0,0,0,0,0
Emery,1,State Representative,70,KAY L. MCIFF ,REP ,70,0,3,0,73
Emery,1,State Representative,70,KALEN JONES ,DEM ,13,0,1,0,14
Emery,1,State Representative,70,R. GLENN STONEMAN ,CON ,7,0,0,0,7
Emery,1,COUNTY COMM A ,,KEITH BRADY ,REP ,56,0,3,0,59
Emery,1,COUNTY COMM A ,,Write-ins,,31,0,0,0,31
Emery,1,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,82,0,3,0,85
Emery,1,COUNTY ASSESSOR ,,KRIS BELL ,REP ,81,0,3,0,84
Emery,1,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,83,0,3,0,86
Emery,1,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,81,0,4,0,85
Emery,1,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,84,0,4,0,88
Emery,1,COUNTY SHERIFF ,,GREG FUNK ,REP ,81,0,3,0,84
Emery,1,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,82,0,4,0,86
Emery,1,UTAHSUPREMECRT-DURHAM ,,YES ,,61,0,1,0,62
Emery,1,UTAHSUPREMECRT-DURHAM ,,NO ,,18,0,3,0,21
Emery,1,UTAHSUPREMECRT-DURRANT ,,YES ,,61,0,1,0,62
Emery,1,UTAHSUPREMECRT-DURRANT ,,NO ,,18,0,3,0,21
Emery,1,UTAHSUPREMECRT-LEE ,,YES ,,63,0,1,0,64
Emery,1,UTAHSUPREMECRT-LEE ,,NO ,,17,0,3,0,20
Emery,1,COURTAPPEALS-ORME ,,YES ,,60,0,1,0,61
Emery,1,COURTAPPEALS-ORME ,,NO ,,19,0,3,0,22
Emery,1,COURTAPPEALS-CHRISTIANSEN ,,YES ,,62,0,2,0,64
Emery,1,COURTAPPEALS-CHRISTIANSEN ,,NO ,,18,0,2,0,20
Emery,1,COURTAPPEALS-ROTH ,,YES ,,60,0,1,0,61
Emery,1,COURTAPPEALS-ROTH ,,NO ,,19,0,3,0,22
Emery,1,COURTAPPEALS-DAVIS ,,YES ,,62,0,1,0,63
Emery,1,COURTAPPEALS-DAVIS ,,NO ,,17,0,3,0,20
Emery,1,COURTAPPEALS-VOROS ,,YES ,,57,0,1,0,58
